web-scraper-order,web-scraper-start-url,Deputado,Gabinete,Contatos
"1694880903-1","https://www.almg.gov.br/apps/fale-com/lista-telefonica/deputados","Adriano AlvarengaPP","Rua Rodrigues Caldas, 30 Palácio da Inconfidência - 2º andar - conjunto 240","Tel(31) 2108-5945Fax(31) 2108-5946E-maildep.adriano.alvarenga@almg.gov.br"
"1694880903-2","https://www.almg.gov.br/apps/fale-com/lista-telefonica/deputados","Alê PortelaPL","Rua Rodrigues Caldas, 30 Palácio da Inconfidência - 2º andar - conjunto 235","Tel(31) 2108-5408Fax(31) 2108-5407E-maildep.ale.portela@almg.gov.br"
"1694880903-3","https://www.almg.gov.br/apps/fale-com/lista-telefonica/deputados","Alencar da Silveira Jr.PDT","Rua Rodrigues Caldas, 79 Edifício Tiradentes - 19º andar - sala 2","Tel(31) 2108-7119Fax(31) 2108-7506E-maildep.alencar.silveira.junior@almg.gov.br"
"1694880903-4","https://www.almg.gov.br/apps/fale-com/lista-telefonica/deputados","Ana Paula SiqueiraREDE","Rua Rodrigues Caldas, 79 Edifício Tiradentes - 21º andar - sala 2","Tel(31) 2108-5835Fax(31) 2108-5836E-maildep.ana.paula.siqueira@almg.gov.br"
"1694880903-5","https://www.almg.gov.br/apps/fale-com/lista-telefonica/deputados","Andréia de JesusPT","Rua Rodrigues Caldas, 79 Edifício Tiradentes - 16º andar - Sala 1","Tel(31) 2108-5484Fax(31) 2108-5483E-maildep.andreia.de.jesus@almg.gov.br"
"1694880903-6","https://www.almg.gov.br/apps/fale-com/lista-telefonica/deputados","Antonio Carlos ArantesPL","Rua Rodrigues Caldas, 30 Palácio da Inconfidência - Térreo - conjunto 2","Tel(31) 2108-5818Fax(31) 2108-5815E-maildep.antonio.carlos.arantes@almg.gov.br"
"1694880903-7","https://www.almg.gov.br/apps/fale-com/lista-telefonica/deputados","Arlen SantiagoAVANTE","Rua Rodrigues Caldas, 30 Palácio da Inconfidência - 2º andar - conjunto 222","Tel(31) 2108-5030Fax(31) 2108-5033E-maildep.arlen.santiago@almg.gov.br"
"1694880903-8","https://www.almg.gov.br/apps/fale-com/lista-telefonica/deputados","Arnaldo SilvaUNIÃO","Rua Rodrigues Caldas, 30 Palácio da Inconfidência - 2º andar - conjunto 218","Tel(31) 2108-5383Fax(31) 2108-5380E-maildep.arnaldo.silva@almg.gov.br"
"1694880903-9","https://www.almg.gov.br/apps/fale-com/lista-telefonica/deputados","Beatriz CerqueiraPT","Rua Rodrigues Caldas, 30 Palácio da Inconfidência - 1º andar - conjunto 108","Tel(31) 2108-5415Fax(31) 2108-5414E-maildep.beatriz.cerqueira@almg.gov.br"
"1694880903-10","https://www.almg.gov.br/apps/fale-com/lista-telefonica/deputados","Bella GonçalvesPSOL","Rua Rodrigues Caldas, 30 Palácio da Inconfidência - 2º andar - conjunto 223","Tel(31) 2108-5285Fax(31) 2108-5286E-maildep.bella.goncalves@almg.gov.br"
"1694880903-11","https://www.almg.gov.br/apps/fale-com/lista-telefonica/deputados","BetãoPT","Rua Rodrigues Caldas, 79 Edifício Tiradentes - 22º andar - sala 2","Tel(31) 2108-5050Fax(31) 2108-5045E-maildep.betao@almg.gov.br"
"1694880903-12","https://www.almg.gov.br/apps/fale-com/lista-telefonica/deputados","Betinho Pinto CoelhoPV","Rua Rodrigues Caldas, 30 Palácio da Inconfidência - 2º andar - conjunto 228","Tel(31) 2108-5495Fax(31) 2108-5494E-maildep.betinho.pinto.coelho@almg.gov.br"
"1694880903-13","https://www.almg.gov.br/apps/fale-com/lista-telefonica/deputados","Bim da AmbulânciaAVANTE","Rua Rodrigues Caldas, 30 Palácio da Inconfidência - 2º andar - conjunto 226","Tel(31) 2108-5370Fax(31) 2108-5366E-maildep.bim.da.ambulancia@almg.gov.br"
"1694880903-14","https://www.almg.gov.br/apps/fale-com/lista-telefonica/deputados","BoscoCIDADANIA","Rua Rodrigues Caldas, 30 Palácio da Inconfidência - 2º andar - conjunto 221","Tel(31) 2108-5310Fax(31) 2108-5311E-maildep.bosco@almg.gov.br"
"1694880903-15","https://www.almg.gov.br/apps/fale-com/lista-telefonica/deputados","Bruno EnglerPL","Rua Rodrigues Caldas, 30 Palácio da Inconfidência - andar SE - conjunto 2","Tel(31) 2108-5375Fax(31) 2108-5376E-maildep.bruno.engler@almg.gov.br"
"1694880903-16","https://www.almg.gov.br/apps/fale-com/lista-telefonica/deputados","CaporezzoPL","Rua Rodrigues Caldas, 30 Palácio da Inconfidência - 2º andar - conjunto 202","Tel(31) 2108-5120Fax(31) 2108-5115E-maildep.caporezzo@almg.gov.br"
"1694880903-17","https://www.almg.gov.br/apps/fale-com/lista-telefonica/deputados","Carlos HenriqueREPUBLICANOS","Rua Rodrigues Caldas, 30 Palácio da Inconfidência - 1º andar - conjunto 102","Tel(31) 2108-5788Fax(31) 2108-5787E-maildep.carlos.henrique@almg.gov.br"
"1694880903-18","https://www.almg.gov.br/apps/fale-com/lista-telefonica/deputados","Cassio SoaresPSD","Rua Rodrigues Caldas, 30 Palácio da Inconfidência - 1º andar - conjunto 101","Tel(31) 2108-5095Fax(31) 2108-5098E-maildep.cassio.soares@almg.gov.br"
"1694880903-19","https://www.almg.gov.br/apps/fale-com/lista-telefonica/deputados","Celinho SintrocelPCdoB","Rua Rodrigues Caldas, 79 Edifício Tiradentes - 15º andar - sala 2","Tel(31) 2108-5905Fax(31) 2108-5907E-maildep.celinho.sintrocel@almg.gov.br"
"1694880903-20","https://www.almg.gov.br/apps/fale-com/lista-telefonica/deputados","Charles SantosREPUBLICANOS","Rua Rodrigues Caldas, 30 Palácio da Inconfidência - 2º andar - conjunto 207","Tel(31) 2108-5270Fax(31) 2108-5272E-maildep.charlessantos@almg.gov.br"
