email,nome
dep.adriano.alvarenga@almg.gov.br,Adriano Alvarenga
dep.ale.portela@almg.gov.br,Alê Portela
dep.alencar.silveira.junior@almg.gov.br,Alencar da Silveira Jr.
dep.ana.paula.siqueira@almg.gov.br,Ana Paula Siqueira
dep.andreia.de.jesus@almg.gov.br,Andréia de Jesus
dep.antonio.carlos.arantes@almg.gov.br,Antonio Carlos Arantes
dep.arlen.santiago@almg.gov.br,Arlen SantiagoAVANTE
dep.arnaldo.silva@almg.gov.br,Arnaldo Silva
dep.beatriz.cerqueira@almg.gov.br,Beatriz Cerqueira
dep.bella.goncalves@almg.gov.br,Bella Gonçalves
dep.betao@almg.gov.br,Betão
dep.betinho.pinto.coelho@almg.gov.br,Betinho Pinto Coelho
dep.bim.da.ambulancia@almg.gov.br,Bim da AmbulânciaAVANTE
dep.bosco@almg.gov.br,Bosco
dep.bruno.engler@almg.gov.br,Bruno Engler
dep.caporezzo@almg.gov.br,Caporezzo
dep.carlos.henrique@almg.gov.br,Carlos Henrique
dep.cassio.soares@almg.gov.br,Cassio Soares
dep.celinho.sintrocel@almg.gov.br,Celinho SintrocelPCdoB
dep.charlessantos@almg.gov.br,Charles Santos
dep.chiara.biondini@almg.gov.br,Chiara Biondini
dep.coronel.henrique@almg.gov.br,Coronel Henrique
dep.coronel.sandro@almg.gov.br,Coronel Sandro
dep.cristiano.silveira@almg.gov.br,Cristiano Silveira
dep.delegada.sheila@almg.gov.br,Delegada Sheila
dep.delegado.christiano.xavier@almg.gov.br,Delegado Christiano Xavier
dep.doorgal.andrada@almg.gov.br,Doorgal Andrada
dep.douglas.melo@almg.gov.br,Douglas Melo
dep.doutor.jean.freire@almg.gov.br,Doutor Jean Freire
dep.doutor.paulo@almg.gov.br,Doutor Paulo
dep.doutor.wilson.batista@almg.gov.br,Doutor Wilson Batista
dep.dr.mauricio@almg.gov.br,Dr. Maurício
dep.duarte.bechir@almg.gov.br,Duarte Bechir
dep.eduardo.azevedo@almg.gov.br,Eduardo Azevedo
dep.elismar.prado@almg.gov.br,Elismar PradoPROS
dep.enes.candido@almg.gov.br,Enes Cândido
dep.fabio.avelar@almg.gov.br,Fábio AvelarAVANTE
dep.gil.pereira@almg.gov.br,Gil Pereira
dep.grego@almg.gov.br,Grego da Fundação
dep.gustavo.santana@almg.gov.br,Gustavo Santana
dep.ione.pinheiro@almg.gov.br,Ione Pinheiro
dep.joao.junior@almg.gov.br,João Junior
dep.joao.magalhaes@almg.gov.br,João Magalhães
dep.joao.vitor.xavier@almg.gov.br,João Vítor Xavier
dep.leandro.genaro@almg.gov.br,Leandro Genaro
dep.leleco.pimentel@almg.gov.br,Leleco Pimentel
dep.leninha@almg.gov.br,Leninha
dep.leonidio.boucas@almg.gov.br,Leonídio Bouças
dep.lohanna@almg.gov.br,Lohanna
dep.lucas.lasmar@almg.gov.br,Lucas Lasmar
dep.lud.falcao@almg.gov.br,Lud FalcãoPODE
dep.luizinho@almg.gov.br,Luizinho
dep.macae.evaristo@almg.gov.br,Macaé Evaristo
dep.maria.clara.marra@almg.gov.br,Maria Clara Marra
dep.mario.henrique.caixa@almg.gov.br,Mário Henrique Caixa
dep.marli.ribeiro@almg.gov.br,Marli Ribeiro
dep.marquinho.lemos@almg.gov.br,Marquinho Lemos
dep.mauro.tramonte@almg.gov.br,Mauro Tramonte
dep.nayara.rocha@almg.gov.br,Nayara Rocha
dep.neilando.pimenta@almg.gov.br,Neilando Pimenta
dep.noraldino.junior@almg.gov.br,Noraldino Júnior
dep.oscar.teixeira@almg.gov.br,Oscar Teixeira
dep.professor.cleiton@almg.gov.br,Professor Cleiton
dep.professorwendelmesquita@almg.gov.br,Professor Wendel MesquitaSOLIDARIEDADE
dep.rafael.martins@almg.gov.br,Rafael Martins
dep.raul.belem@almg.gov.br,Raul Belém
dep.ricardo.campos@almg.gov.br,Ricardo Campos
dep.roberto.andrade@almg.gov.br,Roberto Andrade
dep.rodrigo.lopes@almg.gov.br,Rodrigo Lopes
dep.sargento.rodrigues@almg.gov.br,Sargento Rodrigues
dep.tadeu.martins.leite@almg.gov.br,Tadeu Martins Leite
dep.thiago.cota@almg.gov.br,Thiago Cota
dep.tito.torres@almg.gov.br,Tito Torres
dep.ulysses.gomes@almg.gov.br,Ulysses Gomes
dep.vitorio.junior@almg.gov.br,Vitório Júnior
dep.ze.guilherme@almg.gov.br,Zé Guilherme
dep.ze.laviola@almg.gov.br,Zé Laviola
